sourceFixture,fixtureKind,thresholdProfile,report,findingIndex,findingId,title,severity,confidence,domains,relatedEips
fixtures/traces/drpc-call-tracer-real.json,trace,research,reports/traces-drpc-call-tracer-real--research.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/drpc-call-tracer-real.json,trace,research,reports/traces-drpc-call-tracer-real--research.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/erigon-action-trace.json,trace,default,reports/traces-erigon-action-trace--default.json,1,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/erigon-action-trace.json,trace,default,reports/traces-erigon-action-trace--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/erigon-action-trace.json,trace,default,reports/traces-erigon-action-trace--default.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/erigon-action-trace.json,trace,research,reports/traces-erigon-action-trace--research.json,1,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/erigon-action-trace.json,trace,research,reports/traces-erigon-action-trace--research.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/erigon-action-trace.json,trace,research,reports/traces-erigon-action-trace--research.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/foundry-json-trace.json,trace,default,reports/traces-foundry-json-trace--default.json,1,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/foundry-json-trace.json,trace,default,reports/traces-foundry-json-trace--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/foundry-json-trace.json,trace,research,reports/traces-foundry-json-trace--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/foundry-json-trace.json,trace,research,reports/traces-foundry-json-trace--research.json,2,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/foundry-json-trace.json,trace,research,reports/traces-foundry-json-trace--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/geth-json-rpc-structlogs.json,trace,default,reports/traces-geth-json-rpc-structlogs--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/geth-json-rpc-structlogs.json,trace,default,reports/traces-geth-json-rpc-structlogs--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/geth-json-rpc-structlogs.json,trace,research,reports/traces-geth-json-rpc-structlogs--research.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/geth-json-rpc-structlogs.json,trace,research,reports/traces-geth-json-rpc-structlogs--research.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-geth-mainnet-tracoor-debug-structlogs--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-geth-mainnet-tracoor-debug-structlogs--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-geth-mainnet-tracoor-debug-structlogs--default.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-geth-mainnet-tracoor-debug-structlogs--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-geth-mainnet-tracoor-debug-structlogs--research.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-geth-mainnet-tracoor-debug-structlogs--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/geth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-geth-mainnet-tracoor-debug-structlogs--research.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/hardhat-debug-trace.json,trace,default,reports/traces-hardhat-debug-trace--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/hardhat-debug-trace.json,trace,default,reports/traces-hardhat-debug-trace--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/hardhat-debug-trace.json,trace,research,reports/traces-hardhat-debug-trace--research.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/hardhat-debug-trace.json,trace,research,reports/traces-hardhat-debug-trace--research.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/nethermind-debug-structlogs.json,trace,default,reports/traces-nethermind-debug-structlogs--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/nethermind-debug-structlogs.json,trace,default,reports/traces-nethermind-debug-structlogs--default.json,2,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/nethermind-debug-structlogs.json,trace,default,reports/traces-nethermind-debug-structlogs--default.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/nethermind-debug-structlogs.json,trace,research,reports/traces-nethermind-debug-structlogs--research.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/nethermind-debug-structlogs.json,trace,research,reports/traces-nethermind-debug-structlogs--research.json,2,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/nethermind-debug-structlogs.json,trace,research,reports/traces-nethermind-debug-structlogs--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--default.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--default.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--default.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--default.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--research.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--research.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-reth-mainnet-tracoor-debug-structlogs--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-reth-mainnet-tracoor-debug-structlogs--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-reth-mainnet-tracoor-debug-structlogs--default.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-reth-mainnet-tracoor-debug-structlogs--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-reth-mainnet-tracoor-debug-structlogs--research.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-reth-mainnet-tracoor-debug-structlogs--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/reth-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-reth-mainnet-tracoor-debug-structlogs--research.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,3,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,4,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,5,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,3,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,4,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,5,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/validator/glamsterdam-devnet-operator-public.yaml,validator,default,reports/validator-glamsterdam-devnet-operator-public--default.json,1,validator.execution-client-status-partial,execution client compatibility is partial,unknown,high,validator,EIP-7732
fixtures/validator/glamsterdam-devnet-operator-public.yaml,validator,default,reports/validator-glamsterdam-devnet-operator-public--default.json,2,validator.consensus-client-status-partial,consensus client compatibility is partial,unknown,high,validator,EIP-7732
fixtures/validator/operator-config-builder-gap.yaml,validator,default,reports/validator-operator-config-builder-gap--default.json,1,validator.builder-enabled-without-endpoint,Builder integration is enabled but no endpoint is configured,medium,high,validator|builder|consensus,EIP-7732
fixtures/validator/operator-config-builder-gap.yaml,validator,default,reports/validator-operator-config-builder-gap--default.json,2,validator.missing-monitoring-endpoints,Monitoring endpoint metadata is incomplete,medium,high,validator|monitoring,EIP-7732|EIP-7928
fixtures/validator/operator-config-builder-gap.yaml,validator,default,reports/validator-operator-config-builder-gap--default.json,3,validator.missing-testnet-participation,No testnet or devnet participation metadata found,medium,high,validator|monitoring,EIP-7732|EIP-7928
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,1,validator.unknown-execution-client-compatibility,Unknown Glamsterdam compatibility for execution client,unknown,high,validator,EIP-7732
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,2,validator.unknown-consensus-client-compatibility,Unknown Glamsterdam compatibility for consensus client,unknown,high,validator,EIP-7732
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,3,validator.missing-validator-client-version,Missing validator client version,medium,high,validator,EIP-7732
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,4,validator.builder-enabled-without-endpoint,Builder integration is enabled but no endpoint is configured,medium,high,validator|builder|consensus,EIP-7732
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,5,validator.missing-monitoring-endpoints,Monitoring endpoint metadata is incomplete,medium,high,validator|monitoring,EIP-7732|EIP-7928
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,6,validator.missing-testnet-participation,No testnet or devnet participation metadata found,medium,high,validator|monitoring,EIP-7732|EIP-7928
